date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:09:34	280296/280296	---M-Z	200	added ('OK')	text/html	date:Thu,%2011%20Jan%202024%2003:06:21%20GMT	https://hagiangopentour.com/	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/index.html	(from )
10:09:34	112/112	---M--	200	added ('OK')	text/plain	etag:%2270-5db0b96485800%22	https://hagiangopentour.com/robots.txt		(from )
10:09:34	100039/100039	---M--	200	added ('OK')	text/css	etag:%22186c7-5c4b49a36e700%22	https://hagiangopentour.com/template/frontend/css/bootstrap.min.css	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/template/frontend/css/bootstrap.min.css	(from https://hagiangopentour.com/)
10:09:35	26711/26711	---M--	200	added ('OK')	text/css	etag:%226857-5afe27a20e880%22	https://hagiangopentour.com/template/frontend/css/font-awesome.min.css	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/template/frontend/css/font-awesome.min.css	(from https://hagiangopentour.com/)
10:09:36	2936/2936	---M--	200	added ('OK')	text/css	etag:%22b78-5b00a0c6a2e00%22	https://hagiangopentour.com/template/frontend/css/owl.carousel.min.css	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/template/frontend/css/owl.carousel.min.css	(from https://hagiangopentour.com/)
10:09:37	1305/1305	---M--	200	added ('OK')	text/css	etag:%22519-5b5275a023780%22	https://hagiangopentour.com/template/frontend/css/owl.theme.default.css	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/template/frontend/css/owl.theme.default.css	(from https://hagiangopentour.com/)
10:09:38	33510/33510	---M--	200	added ('OK')	text/css	etag:%2282e6-60d0ebbe377fa%22	https://hagiangopentour.com/template/frontend/css/style.css	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/template/frontend/css/style.css	(from https://hagiangopentour.com/)
10:09:39	46065/46065	---M--	200	added ('OK')	text/css	etag:%22b3f1-5b6d04420b400%22	https://hagiangopentour.com/template/frontend/css/animate.css	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/template/frontend/css/animate.css	(from https://hagiangopentour.com/)
10:09:40	2423/2423	---M--	200	added ('OK')	text/css	etag:%22977-5b9c556973800%22	https://hagiangopentour.com/template/frontend/css/responsive.css	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/template/frontend/css/responsive.css	(from https://hagiangopentour.com/)
10:09:41	11100/11100	---M--	200	added ('OK')	text/css	etag:%222b5c-5bf5acc1d7e00%22	https://hagiangopentour.com/template/frontend/css/demo.css?ver=3.3.0	/Users/duykhanhnguyen/websites/web-clone/hagiangopentour.com/template/frontend/css/demo9b70.css	(from https://hagiangopentour.com/)
